date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:51	10263/10263	---M--	200	added ('OK')	application/zip	etag:%221e24ded580d7cc80c0249e3a3c4841ba%22	http://projects-legacy.ez.no/src/ezurlfilter.zip	projects-legacy.ez.no/src/ezurlfilter.zip	(from http://projects-legacy.ez.no/)
12:03:52	174/174	---M--	200	added ('OK')	application/zip	etag:%224123eca06626e426445b794b0a89ee5b%22	http://projects-legacy.ez.no/src/ez_url_jump.zip	projects-legacy.ez.no/src/ez_url_jump.zip	(from http://projects-legacy.ez.no/)
12:03:53	17391/17391	---M--	200	added ('OK')	application/zip	etag:%2227c9f5a6ad9ce795ebc0f71a993ba762%22	http://projects-legacy.ez.no/svn/ez_url_jump.zip	projects-legacy.ez.no/svn/ez_url_jump.zip	(from http://projects-legacy.ez.no/)
12:03:55	27624/27624	---M--	200	added ('OK')	application/zip	etag:%223cb7acf9d0fd92b2026c34fe9dc2c94a%22	http://projects-legacy.ez.no/svn/ezurlmapper.zip	projects-legacy.ez.no/svn/ezurlmapper.zip	(from http://projects-legacy.ez.no/)
12:03:55	11304/11304	---M--	200	added ('OK')	application/zip	etag:%22c0582181dbac5e84271992cb00fc0a96%22	http://projects-legacy.ez.no/src/ezurlmapper.zip	projects-legacy.ez.no/src/ezurlmapper.zip	(from http://projects-legacy.ez.no/)
12:03:57	17985/17985	---M--	200	added ('OK')	application/zip	etag:%229587b1579b665419c72baf57310fddf0%22	http://projects-legacy.ez.no/svn/ez_user_create_limit.zip	projects-legacy.ez.no/svn/ez_user_create_limit.zip	(from http://projects-legacy.ez.no/)
12:03:57	192/192	---M--	200	added ('OK')	application/zip	etag:%222bda57e327c23ceca3e75878271852cb%22	http://projects-legacy.ez.no/src/ez_user_create_limit.zip	projects-legacy.ez.no/src/ez_user_create_limit.zip	(from http://projects-legacy.ez.no/)
12:04:01	20347/20347	---M--	200	added ('OK')	application/zip	etag:%2237b7591cc2b1d33c56960079e47308a8%22	http://projects-legacy.ez.no/svn/ezuserfilter.zip	projects-legacy.ez.no/svn/ezuserfilter.zip	(from http://projects-legacy.ez.no/)
12:04:01	2167/2167	---M--	200	added ('OK')	application/zip	etag:%220951d1c8e6312d585ed9ef0b5fccae0a%22	http://projects-legacy.ez.no/src/ezuserfilter.zip	projects-legacy.ez.no/src/ezuserfilter.zip	(from http://projects-legacy.ez.no/)
12:04:05	17325/17325	---M--	200	added ('OK')	application/zip	etag:%22eb2fddd93e1d31e2c7484aa1aacf26f6%22	http://projects-legacy.ez.no/svn/ezuserplus.zip	projects-legacy.ez.no/svn/ezuserplus.zip	(from http://projects-legacy.ez.no/)
12:04:05	172/172	---M--	200	added ('OK')	application/zip	etag:%2237c9776317d6f469687276d140130525%22	http://projects-legacy.ez.no/src/ezuserplus.zip	projects-legacy.ez.no/src/ezuserplus.zip	(from http://projects-legacy.ez.no/)
12:04:16	172057/172057	---M--	200	added ('OK')	application/zip	etag:%224a8bdbb31a197142beea18cb8b5cb9df%22	http://projects-legacy.ez.no/svn/ezvideoflv.zip	projects-legacy.ez.no/svn/ezvideoflv.zip	(from http://projects-legacy.ez.no/)
12:04:19	17523/17523	---M--	200	added ('OK')	application/zip	etag:%220db35546affbdba5599d5c5349449fe2%22	http://projects-legacy.ez.no/svn/ezviewcounter.zip	projects-legacy.ez.no/svn/ezviewcounter.zip	(from http://projects-legacy.ez.no/)
12:04:19	210773/210773	---M--	200	added ('OK')	application/zip	etag:%226e5881e5c01993db646d6f3092c52243%22	http://projects-legacy.ez.no/src/ezvideoflv.zip	projects-legacy.ez.no/src/ezvideoflv.zip	(from http://projects-legacy.ez.no/)
12:04:20	178/178	---M--	200	added ('OK')	application/zip	etag:%224d3c3a2c68d5b13cd82291d5cf3089fd%22	http://projects-legacy.ez.no/src/ezviewcounter.zip	projects-legacy.ez.no/src/ezviewcounter.zip	(from http://projects-legacy.ez.no/)
12:04:23	23086/23086	---M--	200	added ('OK')	application/zip	etag:%228b0ec99296ca3fbb2aea64c7715900c8%22	http://projects-legacy.ez.no/src/ezvim.zip	projects-legacy.ez.no/src/ezvim.zip	(from http://projects-legacy.ez.no/)
12:04:24	64773/64773	---M--	200	added ('OK')	application/zip	etag:%22283e120384bbd7a5e4ddb08dd257a029%22	http://projects-legacy.ez.no/svn/ezvim.zip	projects-legacy.ez.no/svn/ezvim.zip	(from http://projects-legacy.ez.no/)
12:04:30	85878/85878	---M--	200	added ('OK')	application/zip	etag:%22ebd52adb597b87ad3f06741dd69a0db1%22	http://projects-legacy.ez.no/src/ezvlogin.zip	projects-legacy.ez.no/src/ezvlogin.zip	(from http://projects-legacy.ez.no/)
12:04:31	142872/142872	---M--	200	added ('OK')	application/zip	etag:%223ed32cc529fad84cb4206a0f81150ab2%22	http://projects-legacy.ez.no/svn/ezvlogin.zip	projects-legacy.ez.no/svn/ezvlogin.zip	(from http://projects-legacy.ez.no/)
12:04:32	186/186	---M--	200	added ('OK')	application/zip	etag:%22c97f98b47e6719749266b7d6c079c939%22	http://projects-legacy.ez.no/src/ez_vote_collector.zip	projects-legacy.ez.no/src/ez_vote_collector.zip	(from http://projects-legacy.ez.no/)
12:04:33	17787/17787	---M--	200	added ('OK')	application/zip	etag:%229a0abab6810012ea4aa3be776d04e5e4%22	http://projects-legacy.ez.no/svn/ez_vote_collector.zip	projects-legacy.ez.no/svn/ez_vote_collector.zip	(from http://projects-legacy.ez.no/)
12:04:35	18909/18909	---M--	200	added ('OK')	application/zip	etag:%2277766e970fe81952ede14ec2ee104edc%22	http://projects-legacy.ez.no/svn/ezwebin_css_ids_and_classes_as_pdf.zip	projects-legacy.ez.no/svn/ezwebin_css_ids_and_classes_as_pdf.zip	(from http://projects-legacy.ez.no/)
12:04:35	220/220	---M--	200	added ('OK')	application/zip	etag:%22a9c9d0295274db0c9a86440098f880e6%22	http://projects-legacy.ez.no/src/ezwebin_css_ids_and_classes_as_pdf.zip	projects-legacy.ez.no/src/ezwebin_css_ids_and_classes_as_pdf.zip	(from http://projects-legacy.ez.no/)
12:04:40	37341/37341	---M--	200	added ('OK')	application/zip	etag:%227e21ef631df857fb88e7dcc45b54de3d%22	http://projects-legacy.ez.no/src/ezwebservicesapi.zip	projects-legacy.ez.no/src/ezwebservicesapi.zip	(from http://projects-legacy.ez.no/)
12:04:44	150046/150046	---M--	200	added ('OK')	application/zip	etag:%223b2945d73028cd45e69e3669ce20729f%22	http://projects-legacy.ez.no/svn/ezwebservicesapi.zip	projects-legacy.ez.no/svn/ezwebservicesapi.zip	(from http://projects-legacy.ez.no/)
12:04:50	184817/184817	---M--	200	added ('OK')	application/zip	etag:%22f1dd8c56e651bf7984dc95ae1b27a740%22	http://projects-legacy.ez.no/svn/ezwebsitetoolbar.zip	projects-legacy.ez.no/svn/ezwebsitetoolbar.zip	(from http://projects-legacy.ez.no/)
12:05:01	210462/210462	---M--	200	added ('OK')	application/zip	etag:%22bdd695a1bd4d0e24533cb18970856b1c%22	http://projects-legacy.ez.no/svn/ezwordtoolbar.zip	projects-legacy.ez.no/svn/ezwordtoolbar.zip	(from http://projects-legacy.ez.no/)
12:05:11	569150/569150	---M--	200	added ('OK')	application/zip	etag:%227ea6544f24aa5a53bc90ac549119e701%22	http://projects-legacy.ez.no/src/ezwebsitetoolbar.zip	projects-legacy.ez.no/src/ezwebsitetoolbar.zip	(from http://projects-legacy.ez.no/)
12:05:13	190969/190969	---M--	200	added ('OK')	application/zip	etag:%2216ad6bdfe5c2615e889e14fc5195ca95%22	http://projects-legacy.ez.no/src/ezwordtoolbar.zip	projects-legacy.ez.no/src/ezwordtoolbar.zip	(from http://projects-legacy.ez.no/)
12:05:20	84474/84474	---M--	200	added ('OK')	application/zip	etag:%220ed0a4bd9915a146ee657ff33251a44d%22	http://projects-legacy.ez.no/src/ezworkflowcollection.zip	projects-legacy.ez.no/src/ezworkflowcollection.zip	(from http://projects-legacy.ez.no/)
12:05:23	189958/189958	---M--	200	added ('OK')	application/zip	etag:%224e5e874baeb73ae39f52ee63b2e2b429%22	http://projects-legacy.ez.no/svn/ezworkflowcollection.zip	projects-legacy.ez.no/svn/ezworkflowcollection.zip	(from http://projects-legacy.ez.no/)
12:05:23	17424/17424	---M--	200	added ('OK')	application/zip	etag:%220f439815920d53c7e7a6c8305ec3e8fb%22	http://projects-legacy.ez.no/svn/ezworkflows.zip	projects-legacy.ez.no/svn/ezworkflows.zip	(from http://projects-legacy.ez.no/)
12:05:24	174/174	---M--	200	added ('OK')	application/zip	etag:%229f440b95e290cbadcde38d6fadc1712c%22	http://projects-legacy.ez.no/src/ezworkflows.zip	projects-legacy.ez.no/src/ezworkflows.zip	(from http://projects-legacy.ez.no/)
12:05:27	11334/11334	---M--	200	added ('OK')	application/zip	etag:%22f00591c7a2ab6ac99eff96821e7825e3%22	http://projects-legacy.ez.no/src/ezxajax_autocomplete.zip	projects-legacy.ez.no/src/ezxajax_autocomplete.zip	(from http://projects-legacy.ez.no/)
12:05:27	26940/26940	---M--	200	added ('OK')	application/zip	etag:%22f4bf795c97fc67bf107848282e6f1a25%22	http://projects-legacy.ez.no/svn/ezxajax_autocomplete.zip	projects-legacy.ez.no/svn/ezxajax_autocomplete.zip	(from http://projects-legacy.ez.no/)
12:05:33	52426/52426	---M--	200	added ('OK')	application/zip	etag:%2226d9bb5f63a8986033d43b1509bf6454%22	http://projects-legacy.ez.no/src/ezxajax_classattributes.zip	projects-legacy.ez.no/src/ezxajax_classattributes.zip	(from http://projects-legacy.ez.no/)
12:06:16	1089393/1089393	---M--	200	added ('OK')	application/zip	etag:%228894ac7a96c354250b037e1726e9ae9a%22	http://projects-legacy.ez.no/svn/ezxajax_classattributes.zip	projects-legacy.ez.no/svn/ezxajax_classattributes.zip	(from http://projects-legacy.ez.no/)
12:06:19	985283/985283	---M--	200	added ('OK')	application/zip	etag:%227cd2312de47fe3079ce45dc1d0278f92%22	http://projects-legacy.ez.no/svn/ezxajax_roleedit.zip	projects-legacy.ez.no/svn/ezxajax_roleedit.zip	(from http://projects-legacy.ez.no/)
12:06:20	39903/39903	---M--	200	added ('OK')	application/zip	etag:%22934bc32d83a6ce1f03ec7b2fc61ea06d%22	http://projects-legacy.ez.no/src/ezxajax_roleedit.zip	projects-legacy.ez.no/src/ezxajax_roleedit.zip	(from http://projects-legacy.ez.no/)
12:06:40	438194/438194	---M--	200	added ('OK')	application/zip	etag:%22e67c6e32ebd68c6aa054eef6e30c252f%22	http://projects-legacy.ez.no/src/ezxajax.zip	projects-legacy.ez.no/src/ezxajax.zip	(from http://projects-legacy.ez.no/)
12:06:43	17292/17292	---M--	200	added ('OK')	application/zip	etag:%220bd63f8b1c95a929e4cebc5176dc8d28%22	http://projects-legacy.ez.no/svn/ezxdesign.zip	projects-legacy.ez.no/svn/ezxdesign.zip	(from http://projects-legacy.ez.no/)
12:06:44	170/170	---M--	200	added ('OK')	application/zip	etag:%22a102c9f4f0a4715857fe8946e4f60ac3%22	http://projects-legacy.ez.no/src/ezxdesign.zip	projects-legacy.ez.no/src/ezxdesign.zip	(from http://projects-legacy.ez.no/)
12:07:22	1424344/1424344	---M--	200	added ('OK')	application/zip	etag:%22a164596f2a61e6baa34213c9dd030353%22	http://projects-legacy.ez.no/svn/ezxajax.zip	projects-legacy.ez.no/svn/ezxajax.zip	(from http://projects-legacy.ez.no/)
12:09:24	3593737/3593737	---M--	200	added ('OK')	application/zip	etag:%22cdd2069dbff16511b85fecc1921f44c0%22	http://projects-legacy.ez.no/svn/ezxmlexport.zip	projects-legacy.ez.no/svn/ezxmlexport.zip	(from http://projects-legacy.ez.no/)
12:09:41	303294/303294	---M--	200	added ('OK')	application/zip	etag:%2213bde9eebd90852ddfcce677761f3fe6%22	http://projects-legacy.ez.no/svn/ezxmlinstaller.zip	projects-legacy.ez.no/svn/ezxmlinstaller.zip	(from http://projects-legacy.ez.no/)
12:10:05	462351/462351	---M--	200	added ('OK')	application/zip	etag:%22749fa7522140a9b593d27a94b51bb8fe%22	http://projects-legacy.ez.no/src/ezxmlinstaller.zip	projects-legacy.ez.no/src/ezxmlinstaller.zip	(from http://projects-legacy.ez.no/)
12:10:09	21134/21134	---M--	200	added ('OK')	application/zip	etag:%22d076b3f9f2329df8f22dc1bcd7c7f051%22	http://projects-legacy.ez.no/svn/ezyomigana.zip	projects-legacy.ez.no/svn/ezyomigana.zip	(from http://projects-legacy.ez.no/)
12:10:10	172/172	---M--	200	added ('OK')	application/zip	etag:%22a3d96c3053b72c753f9e9dcc7c06ed90%22	http://projects-legacy.ez.no/src/ezyomigana.zip	projects-legacy.ez.no/src/ezyomigana.zip	(from http://projects-legacy.ez.no/)
12:10:13	17918/17918	---M--	200	added ('OK')	application/zip	etag:%2216bc27632004f5e6cb3c25fbe94bcb82%22	http://projects-legacy.ez.no/svn/ez_yui_color_picker.zip	projects-legacy.ez.no/svn/ez_yui_color_picker.zip	(from http://projects-legacy.ez.no/)
12:10:14	190/190	---M--	200	added ('OK')	application/zip	etag:%22142a6b8a10e873f0114f24363f45ea6e%22	http://projects-legacy.ez.no/src/ez_yui_color_picker.zip	projects-legacy.ez.no/src/ez_yui_color_picker.zip	(from http://projects-legacy.ez.no/)
12:10:16	17688/17688	---M--	200	added ('OK')	application/zip	etag:%22130eb841beee629af77623c8197aaff4%22	http://projects-legacy.ez.no/svn/ezyuicompressor.zip	projects-legacy.ez.no/svn/ezyuicompressor.zip	(from http://projects-legacy.ez.no/)
12:10:17	182/182	---M--	200	added ('OK')	application/zip	etag:%223833c1f1c814cf558dc3d7592124e012%22	http://projects-legacy.ez.no/src/ezyuicompressor.zip	projects-legacy.ez.no/src/ezyuicompressor.zip	(from http://projects-legacy.ez.no/)
12:12:17	6685903/6685903	---M--	200	added ('OK')	application/zip	etag:%22e666269c84698efae03b18b287194ad3%22	http://projects-legacy.ez.no/src/ezxmlexport.zip	projects-legacy.ez.no/src/ezxmlexport.zip	(from http://projects-legacy.ez.no/)
12:12:52	3550390/3550390	---M--	200	added ('OK')	application/zip	etag:%220d5644f4a7dacd1dcbe8b384ea63bc52%22	http://projects-legacy.ez.no/svn/ezyui.zip	projects-legacy.ez.no/svn/ezyui.zip	(from http://projects-legacy.ez.no/)
12:13:03	155474/155474	---M--	200	added ('OK')	application/zip	etag:%2255848c494a3ae461e391fb92c4f2cba2%22	http://projects-legacy.ez.no/svn/facebook_connect.zip	projects-legacy.ez.no/svn/facebook_connect.zip	(from http://projects-legacy.ez.no/)
12:13:10	91341/91341	---M--	200	added ('OK')	application/zip	etag:%22cc06aaefbd3d169cc5f78054a0238e36%22	http://projects-legacy.ez.no/src/facebook_connect.zip	projects-legacy.ez.no/src/facebook_connect.zip	(from http://projects-legacy.ez.no/)
12:13:13	18051/18051	---M--	200	added ('OK')	application/zip	etag:%22cffde1a13e3fd79cd48c5936e93a6380%22	http://projects-legacy.ez.no/svn/fckeditor_integration.zip	projects-legacy.ez.no/svn/fckeditor_integration.zip	(from http://projects-legacy.ez.no/)
12:13:14	194/194	---M--	200	added ('OK')	application/zip	etag:%229268eaccf054e080cda6cc272f1296f5%22	http://projects-legacy.ez.no/src/fckeditor_integration.zip	projects-legacy.ez.no/src/fckeditor_integration.zip	(from http://projects-legacy.ez.no/)
12:13:16	18843/18843	---M--	200	added ('OK')	application/zip	etag:%221ea13663833d042ad422f50febd85a74%22	http://projects-legacy.ez.no/svn/fckeditor_transparent_integration.zip	projects-legacy.ez.no/svn/fckeditor_transparent_integration.zip	(from http://projects-legacy.ez.no/)
12:13:17	218/218	---M--	200	added ('OK')	application/zip	etag:%2271492f000611bc6c41cda085ef6bab3e%22	http://projects-legacy.ez.no/src/fckeditor_transparent_integration.zip	projects-legacy.ez.no/src/fckeditor_transparent_integration.zip	(from http://projects-legacy.ez.no/)
12:13:21	18282/18282	---M--	200	added ('OK')	application/zip	etag:%221112fec061db205fd1366cedb6f33895%22	http://projects-legacy.ez.no/svn/fc_website_fixed_toolbar.zip	projects-legacy.ez.no/svn/fc_website_fixed_toolbar.zip	(from http://projects-legacy.ez.no/)
12:13:22	200/200	---M--	200	added ('OK')	application/zip	etag:%22d8a3f9e696c922fba24100b49ee07fdd%22	http://projects-legacy.ez.no/src/fc_website_fixed_toolbar.zip	projects-legacy.ez.no/src/fc_website_fixed_toolbar.zip	(from http://projects-legacy.ez.no/)
12:13:25	17391/17391	---M--	200	added ('OK')	application/zip	etag:%228d91de41d9517b1dfaa10f0bdac19f37%22	http://projects-legacy.ez.no/svn/feed_parser.zip	projects-legacy.ez.no/svn/feed_parser.zip	(from http://projects-legacy.ez.no/)
